name,description,url,primaryLanguage,createdAt,updatedAt,stargazers,forks,watchers,issues,pullRequests,releases,branches,tags,commitComments
freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,2014-12-24T17:49:19Z,2023-12-13T05:39:55Z,379097,33216,8485,17209,34652,0,8,0,254
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,,2013-10-11T06:50:37Z,2023-12-13T05:41:29Z,304528,55082,9573,1043,9793,0,32,0,162
awesome,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,,2014-07-11T13:42:37Z,2023-12-13T06:05:56Z,281022,25146,7602,334,1978,0,2,0,43
coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,,2016-06-06T02:34:12Z,2023-12-13T05:56:10Z,273166,65228,8609,410,929,0,1,0,25
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,Python,2016-03-20T23:49:42Z,2023-12-13T06:03:28Z,271255,28522,3988,533,3073,0,2,0,57
996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,,2019-03-26T07:31:14Z,2023-12-13T05:44:15Z,268247,21151,4244,0,1964,0,1,0,236
developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,TypeScript,2017-03-15T13:45:52Z,2023-12-13T05:59:42Z,260286,32672,6854,1606,2710,1,76,4,38
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,Python,2017-02-26T16:15:28Z,2023-12-13T06:07:05Z,237408,39389,6549,266,503,0,2,0,27
build-your-own-x,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,,2018-05-09T12:03:18Z,2023-12-13T06:06:35Z,231700,21459,4723,576,355,0,1,0,8
react,The library for web and native user interfaces.,https://github.com/facebook/react,JavaScript,2013-05-24T16:15:54Z,2023-12-13T05:47:13Z,216157,43553,6649,12590,14154,99,74,141,697
vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,TypeScript,2013-07-29T03:24:51Z,2023-12-13T05:31:39Z,205940,33220,5935,10008,2475,247,13,289,449
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,Python,2014-06-27T21:00:06Z,2023-12-13T06:07:24Z,189908,22659,5902,0,1856,0,2,0,40
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,C++,2015-11-07T01:19:20Z,2023-12-13T06:02:16Z,179376,71951,7668,38458,23561,201,75,205,966
javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,JavaScript,2018-03-24T07:47:04Z,2023-12-13T06:00:36Z,178438,27508,4368,335,709,0,1,0,49
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,Python,2016-07-16T09:44:01Z,2023-12-13T06:05:32Z,173811,41662,5932,1432,9248,0,7,0,140
You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,https://github.com/getify/You-Dont-Know-JS,,2013-11-16T02:37:24Z,2023-12-13T04:48:12Z,173545,30841,5905,922,885,0,6,0,76
CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,,2018-02-13T14:56:24Z,2023-12-13T05:38:24Z,168850,48295,5348,574,610,0,1,0,17
bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,JavaScript,2011-07-29T21:19:00Z,2023-12-13T03:49:59Z,166167,76246,6784,22217,14941,88,101,88,1727
ohmyzsh,"🙃   A delightful community-driven (with 2,200+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,Shell,2009-08-28T18:15:37Z,2023-12-13T05:43:55Z,164956,24831,2662,4596,7042,0,1,0,729
linux,Linux kernel source tree,https://github.com/torvalds/linux,C,2011-09-04T22:48:12Z,2023-12-13T05:30:12Z,162358,42180,8285,0,763,0,2,817,1151
awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted,,2015-06-01T02:33:17Z,2023-12-13T06:02:08Z,160319,8164,2169,804,3037,1,1,1,16
flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter,Dart,2015-03-06T22:54:58Z,2023-12-13T05:59:04Z,158599,25431,3568,89696,49497,6,702,830,512
AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,JavaScript,2023-03-16T09:21:07Z,2023-12-13T06:07:43Z,154774,36744,1542,2101,3344,19,128,19,178
computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science,,2014-05-04T00:18:39Z,2023-12-13T06:05:36Z,154045,18598,5652,619,411,0,5,5,37
vscode,Visual Studio Code,https://github.com/microsoft/vscode,TypeScript,2015-09-03T20:23:38Z,2023-12-13T06:00:21Z,153926,25779,3285,168209,26248,119,788,274,4043
gitignore,A collection of useful .gitignore templates,https://github.com/github/gitignore,,2010-11-08T20:17:14Z,2023-12-13T05:04:13Z,153696,81980,3353,0,4297,0,8,0,383
Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,Python,2018-03-01T16:05:52Z,2023-12-13T06:02:42Z,144062,48886,6163,618,329,0,7,0,70
the-art-of-command-line,"Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line,,2015-05-20T15:11:03Z,2023-12-13T04:57:57Z,141212,13288,2814,237,577,0,2,0,54
javascript,JavaScript Style Guide,https://github.com/airbnb/javascript,JavaScript,2012-11-01T23:13:50Z,2023-12-13T05:07:06Z,139598,23433,3809,1276,1492,0,5,102,132
JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,Java,2018-05-07T13:27:00Z,2023-12-13T05:42:44Z,139286,43475,4531,945,1193,0,2,0,28
