name,full_name,html_url,stargazers_count
freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,379283
free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,304898
awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,281650
coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,273397
public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,271579
996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,268285
developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,260687
system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,237744
build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,232590
react,facebook/react,https://github.com/facebook/react,216330
vue,vuejs/vue,https://github.com/vuejs/vue,205975
awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,190878
tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,179468
javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,178571
Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,173959
You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,173647
CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,168933
bootstrap,twbs/bootstrap,https://github.com/twbs/bootstrap,166223
ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,165106
linux,torvalds/linux,https://github.com/torvalds/linux,162614
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,161149
flutter,flutter/flutter,https://github.com/flutter/flutter,158687
AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,155000
computer-science,ossu/computer-science,https://github.com/ossu/computer-science,154260
vscode,microsoft/vscode,https://github.com/microsoft/vscode,154093
gitignore,github/gitignore,https://github.com/github/gitignore,153848
Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,144390
the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,141461
javascript,airbnb/javascript,https://github.com/airbnb/javascript,139688
JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,139386
project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,138158
youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,125560
fucking-algorithm,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,121437
transformers,huggingface/transformers,https://github.com/huggingface/transformers,117236
